id,child,age,year_group,competition_order,age_group,country,gender,fairness1,fairness2,fairness3,fairness4,fairness5,fairness6,fairness7,fairness8,allocation1,allocation2,allocation3,allocation4,allocation5,allocation6,allocation7,allocation8,justification1,justification2,justification3,justification4,justification5,justification6,justification7,justification8
C2C10,35,49,Jonior,control first,Younger,CN,Male,unfair,fair,fair,unfair,fair,unfair,unfair,fair,UFdis,Fair,Fair,UFdis,Fair,UFdis,UFad,Fair,Conduct,Norm,Norm,Norm,Norm,Desire,Conduct,Norm
C2C11,36,46,Jonior,control first,Younger,CN,Female,fair,fair,fair,fair,fair,fair,fair,unfair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,UFad,Norm,Norm,Norm,Norm,Uncodable,Conduct,Norm,Desire
C2C12,37,46,Jonior,control first,Younger,CN,Male,fair,fair,unfair,unfair,fair,unfair,unfair,unfair,Fair,Fair,UFdis,UFad,Fair,UFad,UFdis,UFdis,Desire,Desire,Desire,Desire,Norm,Desire,Desire,Desire
C2C13,38,53,Jonior,control first,Younger,CN,Male,fair,fair,fair,fair,fair,fair,unfair,fair,Fair,Fair,Fair,Fair,Fair,Fair,UFad,Fair,Desire,Norm,Desire,Desire,Desire,Desire,Desire,Norm
C2C14,39,53,Jonior,control first,Younger,CN,Male,fair,fair,fair,fair,fair,fair,fair,fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Norm,Norm,Norm,Norm,Norm,Norm,Norm,Norm
C2C15,40,48,Jonior,control first,Younger,CN,Female,fair,fair,unfair,fair,unfair,fair,fair,unfair,Fair,Fair,UFdis,Fair,UFdis,Fair,Fair,UFad,Affiliation,Norm,Conduct,Conduct,Conduct,Norm,Norm,Desire
C2C16,41,49,Jonior,control first,Younger,CN,Male,fair,fair,fair,fair,fair,fair,fair,unfair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,UFdis,Norm,Norm,Norm,Norm,Norm,Norm,Norm,Norm
C2C17,42,47,Jonior,control first,Younger,CN,Female,unfair,fair,fair,fair,fair,fair,unfair,unfair,UFad,Fair,Fair,Fair,Fair,Fair,UFdis,UFad,Desire,Affiliation,Affiliation,Affiliation,Affiliation,Affiliation,Desire,Desire
C2C18,43,51,Jonior,control first,Younger,CN,Male,fair,unfair,unfair,unfair,unfair,unfair,unfair,unfair,Fair,UFdis,UFad,UFdis,UFad,UFdis,UFad,UFdis,Norm,Conduct,Desire,Desire,Desire,Desire,Desire,Desire
C2C19,44,48,Jonior,control first,Younger,CN,Male,unfair,unfair,fair,fair,unfair,unfair,unfair,fair,UFad,UFdis,Fair,Fair,UFdis,UFdis,UFdis,Fair,Desire,Conduct,Affiliation,Conduct,Affiliation,Affiliation,Conduct,Conduct
C2C20,45,42,Jonior,control first,Younger,CN,Male,fair,fair,fair,fair,unfair,unfair,fair,fair,Fair,Fair,Fair,Fair,UFad,UFad,Fair,Fair,Norm,Norm,Norm,Norm,Desire,Desire,Norm,Norm
C2C21,46,52,Jonior,control first,Younger,CN,Female,fair,fair,fair,fair,unfair,fair,fair,fair,Fair,Fair,Fair,Fair,UFdis,Fair,Fair,Fair,Conduct,Norm,Norm,Norm,Affiliation,Affiliation,Norm,Norm
C2C23,47,38,Jonior,control first,Younger,CN,Female,fair,fair,fair,fair,unfair,fair,fair,fair,Fair,Fair,Fair,Fair,UFdis,Fair,Fair,Fair,Norm,Norm,Norm,Norm,Norm,Norm,Norm,Norm
C2C22,48,47,Jonior,control first,Younger,CN,Female,unfair,fair,fair,fair,fair,unfair,unfair,fair,UFad,Fair,Fair,Fair,Fair,UFad,UFdis,Fair,Desire,Norm,Norm,Norm,Norm,Desire,Uncodable,Norm
C2C24,49,44,Jonior,control first,Younger,CN,Male,fair,unfair,unfair,fair,fair,unfair,fair,unfair,Fair,UFdis,UFdis,Fair,Fair,UFad,Fair,UFdis,Norm,Affiliation,Desire,Norm,Desire,Desire,Norm,Desire
C2C25,50,44,Jonior,control first,Younger,CN,Male,unfair,unfair,unfair,unfair,unfair,fair,fair,fair,UFdis,UFad,UFad,UFad,UFad,Fair,Fair,Fair,Desire,Desire,Desire,Desire,Desire,Norm,Norm,Norm
C2E26,51,44,Jonior,competition first,Younger,CN,Female,fair,unfair,fair,fair,fair,fair,fair,fair,Fair,UFad,Fair,Fair,Fair,Fair,Fair,Fair,Affiliation,Affiliation,Affiliation,Norm,Affiliation,Affiliation,Norm,Norm
C2C26,52,47,Jonior,control first,Younger,CN,Female,unfair,fair,fair,fair,unfair,fair,fair,fair,UFad,Fair,Fair,Fair,UFad,Fair,Fair,Fair,Desire,Affiliation,Norm,Norm,Desire,Norm,Norm,Norm
C2E27,53,41,Jonior,competition first,Younger,CN,Male,fair,fair,unfair,fair,fair,unfair,unfair,unfair,Fair,Fair,UFad,Fair,Fair,UFdis,UFad,UFad,Affiliation,Affiliation,Desire,Norm,Affiliation,Affiliation,Desire,Desire
C2C27,54,44,Jonior,control first,Younger,CN,Male,fair,fair,unfair,fair,unfair,fair,unfair,fair,Fair,Fair,UFad,Fair,UFad,Fair,UFad,Fair,Affiliation,Affiliation,Desire,Norm,Desire,Norm,Desire,Norm
